s_x,s_y,a_dx,a_dy,reward,s'_x,s'_y
0,22,0,1,-0.14580430112852483,0,23
0,23,0,1,-0.16289797416869156,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,-4,-7.21421185964282,0,23
0,23,0,1,-0.16289797416869156,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,-3,-5.377109833811511,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,-2,-3.559962215006925,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,-1,-1.766211031791192,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,-5,-8.947902444078855,0,23
0,23,0,1,-0.16289797416869156,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,-4,-7.110800418247546,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,-3,-5.29365279944296,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,-2,-3.499901616227227,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,-1,-1.7336905844360349,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,-5,-8.80601317997214,0,24
0,24,0,1,-0.18285238119541347,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,-4,-6.988865561167554,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,-3,-5.195114377951821,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,-2,-3.428903346160629,0,27
0,27,0,1,-0.26630941556396515,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,-1,-1.6952127617245942,0,28
0,28,0,1,-0.30478723827540577,0,29
0,29,0,1,-0.35032622024055193,0,30
0,30,0,-5,-8.638539340927002,0,25
0,25,0,1,-0.20624881678426732,0,26
0,26,0,1,-0.2337889682088079,0,27
0,27,0,1,-0.26630941556396515,0,28
129,12,-5,-5,-3.3714009703764534,124,7
